Fastest_Reaction,Slowest_Reaction,WPM,Typing_Accuracy,Correct_Sequences,Memory_Accuracy,Math_Response_Time,Problems_Attempted,Math_Accuracy,Math_Correct,Blink_Rate,Fixation_Time,Saccade_Speed,Targets_Clicked,Equations_Solved,Equation_Accuracy,Multitasking_Index,Fatigue_Level
0.23414230086526322,0.9890948911618498,75.75284235781562,84.4276592014377,12,95.23328084707981,8.632535138039348,24,54.95010900634635,11,22.408016518601997,415.0203690082292,228.08857787491593,16,13,87.73532563117678,0.7409800411684664,Medium
0.28362699682901454,0.7503661994456516,52.40043649539135,99.35575613875231,16,93.65712971317276,6.346825382324277,26,60.09286951513033,20,27.937870043819288,238.38644279394265,363.19563366795734,18,18,89.88232190018093,0.7390681140303663,Low
0.37819630396038467,0.8455885546029498,85.74862631996577,85.99385624976166,19,80.67319136099667,2.05499164829925,18,99.03723695996331,24,18.701893546158562,216.53182650469728,378.2415257356747,18,8,76.79478454116615,0.7465116437495833,Low
0.21806829389964816,0.9340160418271648,98.07799909795983,99.54971687760515,13,75.42709387548325,4.998028348940792,7,88.5045319456155,27,21.102001845115126,334.142690459754,118.03521703036915,5,10,54.56798628211419,0.8451963883515119,High
0.2666552414252742,1.0760116314745205,93.45789127220908,99.6576419178093,11,70.70581772330195,3.301648623210216,27,95.8918761130724,9,11.112235309664998,318.09459881298574,259.4043314099938,12,14,57.124535003539776,0.3076504775570256,High
0.3369015461290204,0.908154787333596,72.20914414217063,98.26276629403921,14,87.55368564087419,3.363730151931545,5,94.01913436812009,13,24.242488905570678,358.55200671229323,251.48851734481846,19,9,79.93039778144956,0.9167650499216926,Medium
0.3960493256127086,0.7199886572147636,75.3845264691959,86.8340381410597,14,90.25229048774548,2.562817097044155,24,53.89833301430564,21,26.799172985790573,455.443682681224,325.5954773115663,8,15,62.992959123009676,0.3421571299357711,Medium
0.20796374445230015,0.6846125518823621,73.17226969926244,87.35226328606237,12,93.59339492208898,8.653093861451001,25,84.45095804045093,10,19.183905134544148,269.8076972191568,163.88419484228402,5,5,75.17486700100514,0.4822990919533662,Low
0.2658046470740989,1.0081878308409415,84.24167483640173,93.49289429411002,19,69.56821004019406,8.737786393875497,27,95.83916624142825,29,12.820777371861409,366.8424058230469,163.53185855408506,18,6,73.04378823050303,0.45282373733151315,Low
0.3295477009912753,1.033367878766946,42.35263728817433,99.96915568850284,8,64.1451006943625,8.184199511815361,10,54.339994375235875,14,11.83818805000518,238.78675109661776,170.19595634451565,19,14,86.56681813859076,0.27742729909360153,High
0.2842748487838138,1.1112679031946522,38.25483546398802,92.11228565532254,8,71.06124864106704,5.436559441365686,16,96.11561711494113,21,24.741409093186483,333.8221565218747,232.91608466280275,11,17,85.63949410139385,0.544611103440051,Medium
0.21872651739273258,0.5858352215602264,63.485626212767535,95.00647502823213,13,68.52406259397878,9.286279440821051,16,85.86025582956744,16,18.699892537249145,387.603227593567,108.21724649344637,8,13,82.03210634336179,0.472978739200462,High
0.30434370791161275,1.0360751791562428,92.73566515031932,84.00992782510954,19,93.26143584524527,2.9565993228063743,28,71.2911576754714,4,20.70787852555701,230.89653134933144,229.05464611556053,16,9,51.987047307008275,0.3785246706906657,Medium
0.27532724222680943,0.85125491402349,83.59222909253586,83.59049745238117,13,95.69603958484444,9.117721525356163,28,88.26644937009677,29,26.694290262983404,331.62844868278546,382.20130423803346,12,17,69.66528312391982,0.8804856343504219,High
0.25353815999750184,0.784660080576452,90.89330798728815,86.72911426117959,7,96.31341088539267,7.58720964239593,21,93.85573601645984,27,24.33512243133795,436.0902213264064,398.0166286972934,14,3,94.34900547722891,0.25740060656224256,High
0.25559954496594217,1.1667972136906906,54.20615399909934,82.53701432240008,5,98.08654346277388,2.086674007278021,18,82.74296654871002,9,12.487614412210053,301.48620103685096,145.75082936683532,14,13,66.58512088651537,0.8661148025463301,Low
0.3639802015166198,0.7080231277843628,87.67813518245876,90.81351268582866,10,85.76885333489,9.304139378068612,16,68.16662896603657,23,10.28483355608239,387.86726469129655,253.3754857705511,8,4,65.37497770436845,0.5653172657474661,Low
0.2252081784341804,0.6487366023038905,59.524014234458775,98.25266374138091,11,67.64009139665234,3.2720724332214397,7,55.88724000465994,16,10.186655763558116,230.7360918851938,102.39553376702744,13,6,76.76580398417514,0.5492788219100653,High
0.2925211002884336,0.5407450637846906,42.85288132680419,86.19846606585953,13,89.19627012199474,6.322863672121425,22,63.18769346011566,10,18.357755537772817,468.8980193500053,396.7461328997424,17,6,88.07718448517144,0.2292627275085115,Low
0.20569842948748604,0.6381422792608775,71.01560183645407,98.457465635387,5,71.64670193006891,8.289101449537263,22,64.50431002635091,3,22.444365049290937,433.4432374642909,147.32888943516778,15,18,97.01060891266467,0.6496926434034741,Medium
0.25621837595714814,0.7127316543323812,50.493250842088706,87.16716107479948,5,75.0516600728194,5.968454770167483,18,56.10976523415203,29,29.18014819711826,348.27854544004043,170.00729565468504,9,12,60.963364124404734,0.37036657352065405,Low
